Baso population #,Metric 1,Metric 2,Metric 3,Metric 4,Metric 5,Metric 6,Metric 7,Metric 8,Metric 9,Metric 10,Metric 11,Metric 12,% of activated basophils
1,1.0758631,1.042136726,1.029847694,0.770054154,0.467975862,0.272200377,-0.003189541,-0.144311403,-0.231567043,-0.57160637,-0.790195201,-0.840617407,65.9
1,1.137795882,1.021552705,0.966584707,0.871770975,0.804877061,0.717887539,-0.051311375,-0.138866531,-0.129694134,-0.133944775,-0.2103332,-0.226681789,65.9
1,1.013894331,0.866018172,0.839316205,0.742598892,0.662403221,0.545302561,-0.032759738,-0.131028929,-0.160771055,-0.180814864,-0.249063374,-0.332666848,65.9
1,0.93410583,0.860584566,0.844970274,0.72853578,0.663324929,0.559166513,0.035649617,-0.129257729,-0.137753298,-0.157751315,-0.263497299,-0.326324147,65.9
1,0.879963959,0.937326067,0.949911304,0.770292863,0.43307975,0.230387986,-0.042626398,-0.123902671,-0.161322273,-0.645801178,-0.971133455,-1.022220873,65.9
1,0.799477974,0.738484495,0.700919304,0.62407963,0.571430743,0.526114502,-0.073982233,-0.106225088,-0.183972881,-0.15741458,-0.254817767,-0.280272147,65.9
1,0.758570476,0.705856872,0.709217344,0.663700469,0.575490059,0.544560531,-0.017169832,-0.116936015,-0.09159071,-0.163488629,-0.245107332,-0.255698953,65.9
1,1.067297984,0.97870414,0.905706029,0.758260967,0.702806016,0.612069591,0.057798585,-0.151746024,-0.184029619,-0.192401202,-0.256882959,-0.321789882,65.9
1,1.190439151,0.985243806,0.991823475,0.915848567,0.77598019,0.708794291,-0.016683722,-0.091697909,-0.106562225,-0.149711688,-0.249801671,-0.281966219,65.9
1,1.049301138,0.879741399,0.826338174,0.747177377,0.668887989,0.607060705,-0.064798049,-0.116412064,-0.127540396,-0.196590639,-0.224114425,-0.286669173,65.9
1,1.024796145,0.897428337,0.908545508,0.771231549,0.655095796,0.545664385,-0.025543641,-0.112422165,-0.113224333,-0.212376416,-0.302297828,-0.382864897,65.9
1,1.179782637,1.035192079,0.96708889,0.86873864,0.765534847,0.674462223,-0.027629126,-0.142978646,-0.179616685,-0.184492318,-0.22387834,-0.291685214,65.9
1,0.82221438,0.757381944,0.726243352,0.694203124,0.586859577,0.536708985,-0.008608296,-0.132569453,-0.14310939,-0.180271665,-0.271435404,-0.286396656,65.9
